tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,urls,desc
tt0042307,movie,The Black Captain,Il capitano nero,0,1951.0,\N,92,"Adventure,Drama,History",https://www.imdb.com/title/tt0042307,"Directed by Giorgio Ansoldi, Alberto Pozzetti.  With Steve Barclay, Marina Berti, Paul Muller, Marisa Merlini."
tt0042308,movie,Captain Poison,El capitán Veneno,0,1951.0,\N,85,Comedy,https://www.imdb.com/title/tt0042308,"Directed by Luis Marquina.  With Sara Montiel, Fernando Fernán Gómez, Amparo Martí, José Isbert. In Madrid, under Queen Isabel II reign, rebellions are frequent events. During one of them Captain Jorge de Córdoba, nicknamed Veneno (poison) for his quarrelsome disposition, bad temper and outright misogyny, is hurt and taken to a house where two women, a widow and her daughter, are to take care of him."
tt0042309,movie,Capitán de rurales,Capitán de rurales,0,1951.0,\N,90,"Drama,War",https://www.imdb.com/title/tt0042309,"Directed by Alejandro Galindo.  With Luis Aguilar, Alicia Caro, Agustín Isunza, Julio Villarreal. A young captain is pursued by the Mexican government for defending the rights of the peasants from injustices."
tt0042316,movie,Dear Caroline,Caroline chérie,0,1951.0,\N,140,Comedy,https://www.imdb.com/title/tt0042316,"Directed by Richard Pottier.  With Martine Carol, Alfred Adam, Jacques Baumer, Paul Bernard. 14th July 1789. While the wedding of her older unprepossessing sister Louise to a wealthy aristocrat is being celebrated, sixteen-year old beauty Caroline falls in love with an attractive young libertine. But Gaston won't hear of marriage and out of spite she weds Georges Berthier, a politician. Two years later she meets Gaston again and once again it is love at first sight. But her husband being..."
tt0042340,movie,The Company She Keeps,The Company She Keeps,0,1951.0,\N,82,Drama,https://www.imdb.com/title/tt0042340,"Directed by John Cromwell.  With Lizabeth Scott, Jane Greer, Dennis O'Keefe, Fay Baker. Follows the progress of a female ex-convict as she tries to rebuild her life after being released from prison."
tt0042346,movie,Black Crown,La corona negra,0,1951.0,\N,106,"Drama,Mystery",https://www.imdb.com/title/tt0042346,"Directed by Luis Saslavsky.  With María Félix, Rossano Brazzi, Vittorio Gassman, José María Lado. An amnesiac woman discovers her past was that of criminal."
tt0042347,movie,Correo del rey,Correo del rey,0,1951.0,\N,100,"Adventure,History",https://www.imdb.com/title/tt0042347,"Directed by Ricardo Gascón.  With Cesare Danova, Juny Orly, Isabel de Pomés, Félix de Pomés. A ship carrying a secret message from Napoleon to Spain is drowned by the English garrison in Menorcan waters. A Spanish nobleman, a French captain and a Maltese gunner become prisoners and conceive a plan to protect the message."
tt0042351,movie,Crime and Punishment,Crimen y castigo,0,1951.0,\N,104,"Crime,Drama",https://www.imdb.com/title/tt0042351,"Directed by Fernando de Fuentes.  With Roberto Cañedo, Lilia Prado, Carlos López Moctezuma, Luis Beristáin. An adaptation of Fiodor's Dostoievsky novel Crime and Punishment set in the XX Century Mexico. Ramón Bernal is a poor student in Mexico City that has abandoned his career when he receives a letter informing him that his sister will marry a rich man. Thinking she will marry for money instead of love and feeling guilty about this he murders an old usurer to steal her money. With feelings of guilt ..."
tt0042353,movie,El Cristo de mi Cabecera,El Cristo de mi Cabecera,0,1951.0,\N,80,"Drama,War",https://www.imdb.com/title/tt0042353,"Directed by Ernesto Cortázar.  With Roberto Cañedo, Lilia del Valle, Javier Jiménez, José Torvay."
tt0042354,movie,The Forbidden Christ,Il Cristo proibito,0,1951.0,\N,99,"Drama,Mystery,War",https://www.imdb.com/title/tt0042354,"Directed by Curzio Malaparte.  With Raf Vallone, Rina Morelli, Alain Cuny, Anna Maria Ferrero. Back in his village, former war prisoner Bruno Baldi is dead set on avenging his brother who has been shot by a German firing squad after being given away by a villager. But nobody wants to give him the name of the culprit. At long last, Antonio, a joiner, reveals the informer but this comes at a cost."
tt0042384,short,Day of the Fight,Day of the Fight,0,1951.0,\N,16,"Documentary,Short,Sport",https://www.imdb.com/title/tt0042384,"Directed by Stanley Kubrick.  With Douglas Edwards, Nat Fleischer, Walter Cartier, Vincent Cartier. After a short study of boxing's history, narrated by newscaster Douglas Edwards, we follow a day in the life of a middleweight Irish boxer named Walter Cartier."
tt0042386,movie,La virgen gitana,La virgen gitana,0,1951.0,\N,92,"Comedy,Drama,Musical",https://www.imdb.com/title/tt0042386,"Directed by Ramón Torrado.  With Paquita Rico, Alfredo Mayo, Lina Yegros, Lola Ramos. The story of a gypsy girl and her relation with a painter whom she poses for."
tt0042388,movie,Deseada,Deseada,0,1951.0,\N,85,"Drama,Romance",https://www.imdb.com/title/tt0042388,"Directed by Roberto Gavaldón.  With Dolores del Rio, Jorge Mistral, José Baviera, Anabelle Gutiérrez. Deseada, a woman living in the modern city of Chichen Itza, tries to assuage her sister's dread of her betrothal to a Spaniard she doesn't really know. However, when he arrives in the city, he and Deseada fall in love before he has a chance to meet his bride-to-be."
tt0042407,movie,Miners of the Don,Donetskie shakhtyory,0,1951.0,\N,108,Drama,https://www.imdb.com/title/tt0042407,"Directed by Leonid Lukov.  With Boris Chirkov, Aleksey Gribov, A. Mansvetov, G. Pasechnik."
tt0042411,movie,Double Crossbones,Double Crossbones,0,1951.0,\N,76,"Adventure,Comedy,History",https://www.imdb.com/title/tt0042411,"Directed by Charles Barton.  With Donald O'Connor, Helena Carter, Will Geer, John Emery. After being falsely accused of dishonesty, a young man decides to become a pirate."
tt0042413,movie,Doña Perfecta,Doña Perfecta,0,1951.0,\N,97,"Drama,Romance,War",https://www.imdb.com/title/tt0042413,"Directed by Alejandro Galindo.  With Dolores del Rio, Esther Fernández, Carlos Navarro, Julio Villarreal."
tt0042419,movie,Due mogli sono troppe,Due mogli sono troppe,0,1951.0,\N,79,Comedy,https://www.imdb.com/title/tt0042419,"Directed by Mario Camerini.  With Kieron Moore, Griffith Jones, Lea Padovani, Sally Ann Howes."
tt0042429,movie,Edward and Caroline,Édouard et Caroline,0,1951.0,\N,88,Comedy,https://www.imdb.com/title/tt0042429,"Directed by Jacques Becker.  With Daniel Gélin, Anne Vernon, Elina Labourdette, Jacques François. Edouard is a pianist, married with Caroline. This evening, they are invited to Claude's. Claude is the snobbish uncle of Caroline, his son Alain (as snobbish as his father) is in love with Caroline. They spite Edouard a little because he's poor. At the party, Edouard must play the piano to make himself known by Claude's important acquaintances. But just before leaving, Edouard and Caroline ..."
tt0042434,movie,In the Palm of Your Hand,En la palma de tu mano,0,1951.0,\N,90,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0042434,"Directed by Roberto Gavaldón.  With Arturo de Córdova, Leticia Palma, Ramón Gay, Consuelo Guerrero de Luna. A fortune teller blackmails a beautiful widow whose husband has recently died."
tt0042462,movie,El final de una leyenda,El final de una leyenda,0,1951.0,\N,88,Adventure,https://www.imdb.com/title/tt0042462,"Directed by Ricardo Gascón.  With Cesare Danova, Juny Orly, Rafael Calvo, Carmen Rey."
tt0042465,movie,Flesh and Blood,Flesh and Blood,0,1951.0,\N,102,Drama,https://www.imdb.com/title/tt0042465,"Directed by Anthony Kimmins.  With Richard Todd, Glynis Johns, Joan Greenwood, André Morell."
tt0042478,movie,The Franchise Affair,The Franchise Affair,0,1951.0,\N,88,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0042478,"Directed by Lawrence Huntington.  With Michael Denison, Dulcie Gray, Anthony Nicholls, Marjorie Fielding. Michael Denison plays a lawyer investigating kidnapping charges against Dulcie Gray. Based on a novel of Josephine Tey."
tt0042479,movie,Eine Frau mit Herz,Eine Frau mit Herz,0,1951.0,\N,88,Comedy,https://www.imdb.com/title/tt0042479,"Directed by Rudolf Jugert.  With Olga Tschechowa, Gustav Knuth, Rudolf Prack, Siegfried Breuer."
tt0042486,movie,Frühling auf dem Eis,Frühling auf dem Eis,0,1951.0,\N,95,"Comedy,Music,Romance",https://www.imdb.com/title/tt0042486,"Directed by Georg Jacoby.  With Eva Pawlik, Herta Mayen, Hans Holt, Oskar Sima."
tt0042499,movie,El gavilán pollero,El gavilán pollero,0,1951.0,\N,107,"Adventure,Comedy,Drama",https://www.imdb.com/title/tt0042499,"Directed by Rogelio A. González.  With Pedro Infante, Antonio Badú, Lilia Prado, Ana María Villaseñor. A lady's man that goes town to town capturing the love of beautiful women till he meet a greater love the love of a true friend. But there is nothing worst than the wrath of a women with a broken heart."
tt0042503,movie,Gesetz ohne Gnade,Gesetz ohne Gnade,0,1951.0,\N,88,Drama,https://www.imdb.com/title/tt0042503,"Directed by Harald Reinl.  With Karl Loven, Harriet Geßner, Rudolf Schatzberg, Gerd Deutschmann."
tt0042525,movie,Grenzstation 58,Grenzstation 58,0,1951.0,\N,92,Crime,https://www.imdb.com/title/tt0042525,"Directed by Harry Hasso.  With Hansi Knoteck, Mady Rahl, Elise Aulinger, Elisabeth Biebl."
tt0042526,movie,Grounds for Marriage,Grounds for Marriage,0,1951.0,\N,90,"Comedy,Musical",https://www.imdb.com/title/tt0042526,"Directed by Robert Z. Leonard.  With Van Johnson, Kathryn Grayson, Paula Raymond, Barry Sullivan. Opera singer Ina Massine tries to win back former husband Dr. Lincoln I. Bartlett."
tt0042528,short,Guernica,Guernica,0,1951.0,\N,13,"Documentary,Short",https://www.imdb.com/title/tt0042528,"Directed by Robert Hessens, Alain Resnais.  With María Casares, Jacques Pruvost. On April 26 1937 the small Basque town of Guernica was bombed without warning by the German aviation. Two thousand people, all civilians, got killed. Like millions all over the world, Pablo Picasso was shocked and he translated his emotion into a magnificent but terrifying picture bearing the name of the martyred city. This film does not only comment on the painting, it also gives it a new life ..."
tt0042539,movie,Halls of Montezuma,Halls of Montezuma,0,1951.0,\N,113,"Action,Adventure,Drama",https://www.imdb.com/title/tt0042539,"Directed by Lewis Milestone.  With Richard Widmark, Jack Palance, Reginald Gardiner, Robert Wagner. A company of Marines races against the clock to find a Japanese rocket base."
tt0042590,movie,Lucky Nick Cain,I'll Get You for This,0,1951.0,\N,83,"Crime,Drama",https://www.imdb.com/title/tt0042590,"Directed by Joseph M. Newman.  With George Raft, Coleen Gray, Enzo Staiola, Charles Goldner. American gambler Nick Cain arrives at the Mediterranean town of San Paola, and befriends an orphan Italian shoe-shine boy named Toni. He is puzzled by the reception and welcome he receives from the management of the casino until he finds he has been framed on a charge of murdering a U.S. Treasury Agent. He escapes with Kay Wonderly and they flee to a deserted village where he leaves Kay to hide ..."
tt0042601,movie,Io sono il capataz,Io sono il capataz,0,1951.0,\N,110,Western,https://www.imdb.com/title/tt0042601,"Directed by Giorgio Simonelli.  With Renato Rascel, Silvana Pampanini, Virgilio Riento, Marilyn Buferd. The young Uguccione is mistaken for Rascelito Villa called ""C6"", a dangerous revolutionary, and then immediately sent to Parazuela where he leads the insurrectionist troops."
tt0042605,movie,Los islas Marias,Las Islas Marías,0,1951.0,\N,84,Drama,https://www.imdb.com/title/tt0042605,"Directed by Emilio Fernández.  With Pedro Infante, Rosaura Revueltas, Rocío Sagaón, Esther Luquín. The live and hardship of the inmates at Las Islas Marias Penal Colony, a Mexican Federal Corrections Center placed on these very wild islands."
tt0042619,movie,Diary of a Country Priest,Journal d'un curé de campagne,0,1951.0,\N,115,Drama,https://www.imdb.com/title/tt0042619,"Directed by Robert Bresson.  With Claude Laydu, Nicole Ladmiral, Jean Riveyre, Adrien Borel. A young priest taking over the parish at Ambricourt tries to fulfill his duties even as he fights a mysterious stomach ailment."
tt0042621,movie,"Juliette, or Key of Dreams",Juliette ou La clef des songes,0,1951.0,\N,106,Drama,https://www.imdb.com/title/tt0042621,"Directed by Marcel Carné.  With Gérard Philipe, Suzanne Cloutier, Jean-Roger Caussimon, René Génin. Michel has stolen from his employer, Mr Bellanger, for the love of Juliette. He is now in jail. One night, while sleeping in his cell, he wakes up all of a sudden, the gates open and he finds himself in a strange village where all the inhabitants have lost their memory. There, meets Juliette again who seems to agree to marry a powerful man, who might well be Bluebeard..."
tt0042649,movie,Dr. Knock,Knock,0,1951.0,\N,98,Comedy,https://www.imdb.com/title/tt0042649,"Directed by Guy Lefranc.  With Louis Jouvet, Jean Brochard, Pierre Renoir, Pierre Bertin. Saint-Maurice, an ordinary peaceful village, lived healthily so much so that the local doctor's practice was scant. But that was before Dr. Parpalaid retired and was replaced by a charlatan by the name of Knock. A real genius this one, for he soon managed to persuade everyone that they were ill. And not only didn't they resent him but they even loved their physician, who made a fortune and ..."
tt0042660,movie,Különös házasság,Különös házasság,0,1951.0,\N,112,Drama,https://www.imdb.com/title/tt0042660,"Directed by Márton Keleti.  With Gyula Benkö, Miklós Gábor, Lajos Rajczy, Hédi Temessy."
tt0042667,movie,Law of the Badlands,Law of the Badlands,0,1951.0,\N,59,Western,https://www.imdb.com/title/tt0042667,"Directed by Lesley Selander.  With Tim Holt, Joan Dixon, Robert Livingston, Leonard Penn. The Texas Rangers send Dave and Chito into the badlands to see if they can locate a counterfeiting operation. They arrive posing as wanted outlaws and this gets them into the gang. But as soon as they uncover the operation and locate the printing press, one of Chito's girl friends arrives to expose their identity and they find themselves trapped by the entire gang."
tt0042672,movie,The Lioness of Castille,La leona de Castilla,0,1951.0,\N,106,"Drama,History",https://www.imdb.com/title/tt0042672,"Directed by Juan de Orduña.  With Amparo Rivelles, Virgilio Teixeira, Alfredo Mayo, Manuel Luna. Juan de Padilla, one of the main leaders of the Comuneros, is executed in the presence of his wife, Maria Pacheco, who, with his son, decides to avenge his death. Maria, Spanish lady of the highest rank, of delicate health but strong in spirit, heroic reacts and participates in dangerous exploits against the tyranny of King Charles V, becoming ""Leona de Castilla"", symbol of the oppressed popular ..."
tt0042717,movie,María Antonia 'La Caramba',María Antonia 'La Caramba',0,1951.0,\N,90,"Biography,Drama,Musical",https://www.imdb.com/title/tt0042717,"Directed by Arturo Ruiz Castillo.  With Fernando Aguirre, Rafael Albaicín, Mario Berriatúa, Félix Briones."
